"PHIE","logk","VOL_WETCLAY","SWE","rocktype"
0.325901,3.6073,0.055828,0.0477,5
0.333066,3.7422,0.040266,0.0524,5
0.329994,3.764,0.029962,0.0534,5
0.313929,3.5568,0.040275,0.0493,5
0.309407,3.4909,0.045002,0.0453,5
0.311662,3.5362,0.03989,0.0499,5
0.317953,3.6482,0.02982,0.0503,5
0.314581,3.5725,0.038282,0.0471,5
0.314836,3.5616,0.041153,0.0505,5
0.318931,3.6444,0.032354,0.0543,5
0.321007,3.6785,0.029725,0.0532,5
0.326085,3.8112,0.016228,0.0519,5
0.328401,3.8588,0.012953,0.0679,5
0.325924,3.781,0.020398,0.1831,5
0.321893,3.7348,0.021519,0.3504,5
0.316073,3.6602,0.024427,0.5755,5
0.304992,3.4436,0.045785,0.6842,5
0.302944,3.4195,0.046617,0.7556,5
0.303662,3.4623,0.038704,0.8642,5
0.290849,3.1814,0.077445,0.9077,5
0.310958,3.3352,0.092568,0.6356,5
0.179653,1.4886,0.254928,0.8488,5
0.132298,0.6672,0.348654,1,5
0.146459,0.9117,0.326455,0.9927,5
0.193008,1.5308,0.329485,0.9745,5
0.268696,2.6793,0.18012,0.5824,1
0.323928,3.4475,0.097388,0.2577,1
0.34041,3.589,0.102861,0.1279,1
0.317029,3.3187,0.119241,0.156,1
0.325904,3.4646,0.098077,0.2677,1
0.336008,3.6374,0.0741,0.2994,1
0.349806,3.8942,0.041547,0.2023,1
0.352345,3.946,0.03558,0.1856,1
0.359116,3.8879,0.064316,0.2014,1
0.320313,3.3788,0.109009,0.5925,1
0.194982,1.7143,0.238574,0.8124,1
0.12026,0.4582,0.362982,1,1
0.130031,0.6607,0.331091,1,1
0.171113,1.3638,0.261728,0.8463,1
0.239752,2.4261,0.152417,0.5672,1
0.29271,3.1402,0.09654,0.2966,1
0.324371,3.5819,0.058562,0.2901,1
0.276575,2.7444,0.188478,0.1554,1
0.324416,3.6635,0.039323,0.2289,1
0.249934,2.8158,0.058347,0.1737,1
0.206358,2.1266,0.116786,0.1976,1
0.179929,1.648,0.177246,0.2108,1
0.211885,1.857,0.273344,0.55,1
0.245702,2.3021,0.243088,0.4887,1
0.26566,2.552,0.226161,0.4302,1
0.240753,2.2454,0.24382,0.7286,1
0.262211,2.5678,0.199907,0.5575,1
0.274729,2.7198,0.190936,0.3805,1
0.282814,2.8012,0.19232,0.3724,1
0.302398,3.0923,0.151489,0.4155,1
0.300487,3.057,0.158321,0.3248,1
0.30224,3.1077,0.144453,0.3119,2
0.18329,1.5148,0.266381,0.9639,2
0.185314,1.5455,0.263789,0.8858,2
0.174174,1.363,0.28504,0.9364,2
0.169764,1.2764,0.301356,0.7209,2
0.188903,1.581,0.269425,0.7059,2
0.20989,1.8822,0.246368,0.7151,2
0.244366,2.3732,0.199578,0.5078,2
0.270466,2.7315,0.165196,0.4818,2
0.282396,2.8706,0.159098,0.4295,2
0.285256,2.8946,0.161472,0.4021,2
0.292282,2.9933,0.150158,0.3616,2
0.304037,3.1947,0.117579,0.3358,2
0.306566,3.2182,0.11821,0.38,2
0.312166,3.2873,0.113228,0.3781,2
0.305178,3.1577,0.136137,0.3263,2
0.289342,2.9222,0.167753,0.315,2
0.274199,2.6925,0.201291,0.4396,2
0.275819,2.7163,0.198027,0.4847,2
0.293368,2.9494,0.173937,0.323,2
0.32904,3.4705,0.106415,0.2759,2
0.354413,3.8922,0.051945,0.2774,2
0.367255,4.1757,0.019228,0.1878,2
0.364881,4.1054,0.027186,0.1682,2
0.370538,4.1423,0.02983,0.0918,2
0.370235,4.0747,0.043113,0.1242,2
0.366338,4.0221,0.047046,0.1741,2
0.364267,4.0907,0.028822,0.1515,1
0.359307,4.0348,0.030778,0.1012,1
0.352386,3.95,0.034849,0.1542,1
0.338544,3.6885,0.066386,0.1323,1
0.340155,3.6748,0.074662,0.1621,1
0.341727,3.6073,0.100865,0.1965,1
0.353012,3.7574,0.086155,0.17,1
0.363504,3.9598,0.055949,0.1911,1
0.341381,3.6515,0.08528,0.1924,1
0.298328,3.0017,0.173028,0.1406,1
0.255043,2.362,0.266409,0.2249,1
0.273587,2.6592,0.214478,0.4433,1
0.316326,3.3054,0.121621,0.3428,1
0.330285,3.5194,0.093832,0.217,1
0.292694,2.958,0.167067,0.1667,1
0.259843,2.4921,0.224818,0.2447,1
0.284396,2.8834,0.162468,0.4444,1
0.339685,3.7549,0.051835,0.3424,1
0.369232,4.2318,0.013947,0.1599,1
0.371078,4.1548,0.028418,0.0747,1
0.3357,3.5216,0.110893,0.0869,1
0.288287,2.8121,0.214431,0.1956,1
0.27227,2.7559,0.162849,0.3974,1
0.287421,2.9139,0.162775,0.1415,1
0.270992,2.6634,0.199001,0.2302,1
0.233174,2.1398,0.254493,0.4823,1
0.252767,2.5104,0.178765,0.394,1
0.267405,2.692,0.168245,0.3346,1
0.304845,3.218,0.112022,0.2562,1
0.303597,3.1421,0.136041,0.2396,1
0.314341,3.2999,0.116433,0.3234,1
0.319754,3.369,0.110563,0.2115,1
0.342133,3.747,0.059719,0.265,1
0.357672,3.9893,0.036805,0.1537,1
0.360594,3.9927,0.041798,0.1088,1
0.358027,3.9017,0.057978,0.0847,1
0.32015,3.2902,0.142169,0.2083,1
0.299511,3.0146,0.172607,0.3175,1
0.286931,2.8819,0.174688,0.3045,1
0.299335,3.1584,0.113592,0.4593,1
0.312555,3.4523,0.062334,0.2193,1
0.312987,3.4817,0.055745,0.1451,1
0.312999,3.4241,0.071417,0.1517,1
0.313049,3.3494,0.094697,0.1686,1
0.314427,3.3142,0.111522,0.1633,1
0.314244,3.294,0.118248,0.1503,1
0.321551,3.4187,0.099321,0.1662,1
0.32144,3.4261,0.096478,0.1701,1
0.320393,3.4026,0.100996,0.1618,1
0.317841,3.3705,0.103454,0.1545,1
0.296033,3.0944,0.124984,0.2183,1
0.289082,3.0119,0.129501,0.2359,1
0.266032,2.675,0.169296,0.2328,1
0.210658,1.9063,0.2385,0.5562,1
0.177752,1.3317,0.331869,0.687,1
0.246842,2.3809,0.209219,0.3344,1
0.315759,3.3654,0.098233,0.1933,1
0.35226,3.9312,0.038475,0.1225,1
0.362938,4.1356,0.019335,0.0746,1
0.357576,4.0572,0.023962,0.065,1
0.354103,3.973,0.033444,0.0734,1
